unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,index
1.61E+12,12/9/2020 0:00,BTC/USDT,18324.11,18639.57,17650,18541.28,79585.5538,1450130664,1302476,1212
1.61E+12,12/8/2020 0:00,BTC/USDT,19166.9,19294.84,18200,18324.11,61626.94761,1160658077,1143181,1211
1.61E+12,12/7/2020 0:00,BTC/USDT,19358.67,19420.91,18902.88,19166.9,41372.29629,793517668.7,840954,1210
1.61E+12,12/6/2020 0:00,BTC/USDT,19147.66,19420,18857,19359.4,37043.09186,709558933.6,820382,1209
1.61E+12,12/5/2020 0:00,BTC/USDT,18650.51,19177,18500,19147.66,42922.74857,813445434.1,932124,1208
1.61E+12,12/4/2020 0:00,BTC/USDT,19422.34,19527,18565.31,18650.52,71283.6682,1358079975,1286657,1207
1.61E+12,12/3/2020 0:00,BTC/USDT,19204.08,19598,18867.2,19421.9,66689.39128,1286548311,1242229,1206
1.61E+12,12/2/2020 0:00,BTC/USDT,18764.96,19342,18330,19204.09,75911.01348,1436895345,1566635,1205
1.61E+12,12/1/2020 0:00,BTC/USDT,19695.87,19888,18001.12,18764.96,127698.7627,2446070335,2023802,1204
1.61E+12,11/30/2020 0:00,BTC/USDT,18185,19863.16,18184.99,19695.87,115463.4669,2205929120,1744149,1203
1.61E+12,11/29/2020 0:00,BTC/USDT,17719.84,18360.05,17517,18184.99,55329.0163,996743798.9,1141289,1202
1.61E+12,11/28/2020 0:00,BTC/USDT,17139.53,17880.49,16865.56,17719.85,64910.69997,1128061605,1209385,1201
1.61E+12,11/27/2020 0:00,BTC/USDT,17149.47,17457.62,16438.08,17139.52,85297.02479,1446670351,1572299,1200
1.61E+12,11/26/2020 0:00,BTC/USDT,18718.83,18915.03,16188,17149.47,181005.2467,3127314143,2770483,1199
1.61E+12,11/25/2020 0:00,BTC/USDT,19160,19484.21,18500.27,18719.11,93266.57689,1774870796,1785408,1198
1.61E+12,11/24/2020 0:00,BTC/USDT,18368.01,19418.97,18018,19160.01,113581.5092,2145301450,2179862,1197
1.61E+12,11/23/2020 0:00,BTC/USDT,18413.88,18766,18000,18368,82961.50609,1529064320,1629379,1196
1.61E+12,11/22/2020 0:00,BTC/USDT,18703.8,18750,17610.86,18414.43,81645.73778,1497662550,1528524,1195
1.61E+12,11/21/2020 0:00,BTC/USDT,18655.66,18965.9,18308.58,18703.8,75577.45839,1413641591,1451352,1194
1.61E+12,11/20/2020 0:00,BTC/USDT,17802.81,18815.22,17740.04,18655.67,88423.01849,1623135139,1444692,1193
1.61E+12,11/19/2020 0:00,BTC/USDT,17777.75,18179.8,17335.65,17802.82,93009.56101,1656794229,1513304,1192
1.61E+12,11/18/2020 0:00,BTC/USDT,17659.38,18476.93,17214.45,17776.12,149019.7881,2663337936,2091832,1191
1.61E+12,11/17/2020 0:00,BTC/USDT,16713.08,17858.82,16538,17659.38,115221.4031,1982752071,1646652,1190
1.61E+12,11/16/2020 0:00,BTC/USDT,15957,16880,15864,16713.57,81300.67592,1335728014,1202386,1189
1.61E+12,11/15/2020 0:00,BTC/USDT,16069.56,16180,15774.72,15957,43596.84151,696651729.7,854441,1188
1.61E+12,11/14/2020 0:00,BTC/USDT,16320.04,16326.99,15670,16070.45,59116.34718,944765868.6,931424,1187
1.61E+12,11/13/2020 0:00,BTC/USDT,16291.85,16480,15952.35,16320.7,75691.88101,1230358611,1208773,1186
